date,Count
11/15/2013 - 11/16/2013,2
11/16/2013 - 11/17/2013,9
11/17/2013 - 11/18/2013,3
11/18/2013 - 11/19/2013,1
11/19/2013 - 11/20/2013,3
11/20/2013 - 11/21/2013,1
11/21/2013 - 11/22/2013,3
11/22/2013 - 11/23/2013,1
11/23/2013 - 11/24/2013,10
11/24/2013 - 11/25/2013,10
11/25/2013 - 11/26/2013,4
11/26/2013 - 11/27/2013,3
11/27/2013 - 11/28/2013,2
11/28/2013 - 11/29/2013,6
11/29/2013 - 11/30/2013,6
11/30/2013 - 12/1/2013,7
12/1/2013 - 12/2/2013,5
12/2/2013 - 12/3/2013,5
12/3/2013 - 12/4/2013,0
12/4/2013 - 12/5/2013,3
12/5/2013 - 12/6/2013,2
12/6/2013 - 12/7/2013,1
12/7/2013 - 12/8/2013,9
12/8/2013 - 12/9/2013,5
12/9/2013 - 12/10/2013,4
12/10/2013 - 12/11/2013,2
12/11/2013 - 12/12/2013,1
12/12/2013 - 12/13/2013,0
12/13/2013 - 12/14/2013,2
12/14/2013 - 12/15/2013,8
12/15/2013 - 12/16/2013,11
12/16/2013 - 12/17/2013,0
12/17/2013 - 12/18/2013,1
12/18/2013 - 12/19/2013,6
12/19/2013 - 12/20/2013,2
12/20/2013 - 12/21/2013,1
12/21/2013 - 12/22/2013,0
12/22/2013 - 12/23/2013,3
12/23/2013 - 12/24/2013,5
12/24/2013 - 12/25/2013,1
12/25/2013 - 12/26/2013,2
12/26/2013 - 12/27/2013,4
12/27/2013 - 12/28/2013,1
12/28/2013 - 12/29/2013,4
12/29/2013 - 12/30/2013,3
12/30/2013 - 12/31/2013,3
12/31/2013 - 1/1/2014,3
1/1/2014 - 1/2/2014,14
1/2/2014 - 1/3/2014,5
1/3/2014 - 1/4/2014,6
1/4/2014 - 1/5/2014,10
1/5/2014 - 1/6/2014,3
1/6/2014 - 1/7/2014,3
1/7/2014 - 1/8/2014,4
1/8/2014 - 1/9/2014,1
1/9/2014 - 1/10/2014,9
1/10/2014 - 1/11/2014,5
1/11/2014 - 1/12/2014,6
1/12/2014 - 1/13/2014,16
1/13/2014 - 1/14/2014,4
1/14/2014 - 1/15/2014,7
1/15/2014 - 1/16/2014,4
1/16/2014 - 1/17/2014,1
1/17/2014 - 1/18/2014,5
1/18/2014 - 1/19/2014,7
1/19/2014 - 1/20/2014,11
1/20/2014 - 1/21/2014,7
1/21/2014 - 1/22/2014,1
1/22/2014 - 1/23/2014,1
1/23/2014 - 1/24/2014,1
1/24/2014 - 1/25/2014,3
1/25/2014 - 1/26/2014,7
1/26/2014 - 1/27/2014,11
1/27/2014 - 1/28/2014,1
1/28/2014 - 1/29/2014,1
1/29/2014 - 1/30/2014,4
1/30/2014 - 1/31/2014,4
1/31/2014 - 2/1/2014,5
2/1/2014 - 2/2/2014,10
2/2/2014 - 2/3/2014,5
2/3/2014 - 2/4/2014,5
2/4/2014 - 2/5/2014,3
2/5/2014 - 2/6/2014,4
2/6/2014 - 2/7/2014,5
2/7/2014 - 2/8/2014,7
2/8/2014 - 2/9/2014,9
2/9/2014 - 2/10/2014,7
2/10/2014 - 2/11/2014,1
2/11/2014 - 2/12/2014,2
2/12/2014 - 2/13/2014,9
2/13/2014 - 2/14/2014,11
2/14/2014 - 2/15/2014,13
2/15/2014 - 2/16/2014,19
2/16/2014 - 2/17/2014,16
2/17/2014 - 2/18/2014,13
2/18/2014 - 2/19/2014,5
2/19/2014 - 2/20/2014,3
2/20/2014 - 2/21/2014,3
2/21/2014 - 2/22/2014,4
2/22/2014 - 2/23/2014,15
2/23/2014 - 2/24/2014,18
2/24/2014 - 2/25/2014,6
2/25/2014 - 2/26/2014,7
2/26/2014 - 2/27/2014,0
2/27/2014 - 2/28/2014,4
2/28/2014 - 3/1/2014,5
3/1/2014 - 3/2/2014,10
3/2/2014 - 3/3/2014,2
3/3/2014 - 3/4/2014,2
3/4/2014 - 3/5/2014,6
3/5/2014 - 3/6/2014,4
3/6/2014 - 3/7/2014,3
3/7/2014 - 3/8/2014,12
3/8/2014 - 3/9/2014,27
3/8/2014 - 3/10/2014,15
3/10/2014 - 3/11/2014,17
3/11/2014 - 3/12/2014,14
3/12/2014 - 3/13/2014,2
3/13/2014 - 3/14/2014,11
3/14/2014 - 3/15/2014,13
3/15/2014 - 3/16/2014,33
3/16/2014 - 3/17/2014,18
3/17/2014 - 3/18/2014,12
3/18/2014 - 3/19/2014,10
3/19/2014 - 3/20/2014,9
3/20/2014 - 3/21/2014,15
3/21/2014 - 3/22/2014,12
3/22/2014 - 3/23/2014,16
3/23/2014 - 3/24/2014,18
3/24/2014 - 3/25/2014,11
3/25/2014 - 3/26/2014,8
3/26/2014 - 3/27/2014,13
3/27/2014 - 3/28/2014,8
3/28/2014 - 3/29/2014,13
3/29/2014 - 3/30/2014,4
3/30/2014 - 3/31/2014,29
3/31/2014 - 4/1/2014,13
4/1/2014 - 4/2/2014,17
